,LSAT,UGPA,region_first,sander_index,first_pf,Amerindian,Asian,Black,Hispanic,Mexican,Other,Puertorican,White,female,male,ZFYA,Knowledge,Init_class,Fair_pred,Fair_pred_class,full_pred,full_pred_class,unaware_pred,unaware_pred_class
9543,31,3.4,GL,0.71130952381,1.0,0,0,0,0,0,0,0,1,0,1,-1.45,0.05583989888280058,-1.0,0.08785876952400398,1.0,0.05308026653129749,1.0,-0.1002145374800345,-1.0
11945,36,3.1,GL,0.745238095238,1.0,0,0,0,0,0,0,0,1,0,1,-0.01,0.2634507653876491,-1.0,0.04750174430228251,1.0,0.1424413685082353,1.0,0.031019882583982916,1.0
19551,36,3.5,GL,0.783333333333,1.0,0,0,0,0,0,0,0,1,1,0,-0.31,-0.0901216033141874,-1.0,0.11623190877597389,1.0,0.20420391798967952,1.0,0.14465551216337413,1.0
17378,29,3.1,SC,0.657738095238,1.0,0,0,0,0,0,0,0,1,1,0,-0.4,0.9493747632023479,-1.0,-0.08583353118699615,-1.0,-0.10689649092332587,-1.0,-0.2720257165640021,-1.0
17283,23,2.3,Mt,0.512797619048,1.0,0,0,0,0,1,0,0,0,0,1,-1.38,1.6035343435508056,-1.0,-0.212994190585992,-1.0,-0.9640551227525516,-1.0,-0.7590503464210572,-1.0
2736,34,2.5,FW,0.663095238095,0.0,0,0,0,0,1,0,0,0,0,1,-0.97,1.240929507602656,-1.0,-0.1425082244309599,-1.0,-0.5723929119582252,-1.0,-0.22601801868452798,-1.0
9709,33,2.8,NE,0.679166666667,1.0,0,0,0,0,0,0,0,1,1,0,0.97,1.14885491712182,1.0,-0.12461004485649142,-1.0,-0.04901698979143143,-1.0,-0.18408352494969682,-1.0
19590,42,3.5,GL,0.858333333333,1.0,0,1,0,0,0,0,0,0,1,0,1.27,-0.4010112544459269,1.0,0.17666507252659475,1.0,-0.07387826774056849,-1.0,0.40440888286164656,1.0
4230,37,3.7,SE,0.814880952381,1.0,0,0,0,0,0,0,0,1,1,0,2.39,-0.93152198087718,1.0,0.2797898998895202,1.0,0.28105012033357424,1.0,0.24476555540278166,1.0
20449,40,3.4,SE,0.82380952381,1.0,0,0,0,0,0,0,0,1,0,1,-1.53,-0.009396214694860527,-1.0,0.10053987589065591,1.0,0.33641467413668513,1.0,0.2894155185673748,1.0
8508,38,2.8,NE,0.741666666667,1.0,0,0,0,0,0,0,0,1,1,0,-0.27,1.1288465403981816,-1.0,-0.1207206599814337,-1.0,0.10839101443378407,1.0,0.0323776172988639,1.0
9352,43,3.1,GL,0.832738095238,1.0,0,0,0,0,0,0,0,1,0,1,-0.18,0.313939779525198,-1.0,0.03768729455178581,1.0,0.3628125744235371,1.0,0.33406548173196793,1.0
17404,34,2.4,SC,0.653571428571,1.0,0,0,1,0,0,0,0,0,1,0,-1.78,1.2382366579233792,-1.0,-0.14198476723310482,-1.0,-0.7834234509183111,-1.0,-0.2544269260793759,-1.0
13555,47,3.1,GL,0.882738095238,1.0,0,0,0,0,0,0,0,1,1,0,1.1,0.789817438337855,1.0,-0.05481752950908604,-1.0,0.45977232428744985,1.0,0.5072343955308165,1.0
4547,35,2.8,MW,0.704166666667,1.0,0,0,0,0,0,0,0,1,1,0,-0.55,1.2786114153729402,-1.0,-0.1498331286033165,-1.0,0.013946211898654859,1.0,-0.09749906805027253,-1.0
