A,D,M,Q,Y
1.0,1.0,3.546332507053321,1,0.0
1.0,2.0,3.7221286797014193,1,1.0
1.0,1.0,4.818646897585435,2,1.0
1.0,1.0,4.087489358811564,1,1.0
1.0,2.0,3.8537105645689516,1,1.0
1.0,3.0,3.67297345702662,2,1.0
1.0,2.0,4.172593662133592,1,1.0
1.0,2.0,5.3197867940483805,2,1.0
1.0,2.0,3.3940508285853097,1,1.0
1.0,2.0,4.181343047720114,2,1.0
1.0,3.0,4.476705957199519,2,1.0
1.0,2.0,3.909547469223135,2,1.0
1.0,2.0,3.270278239483829,1,1.0
1.0,1.0,3.804070777801077,1,0.0
1.0,3.0,4.524814355160751,2,1.0
1.0,2.0,3.7258839295783583,1,1.0
1.0,1.0,4.1821118382804086,1,1.0
1.0,1.0,3.330440868751025,1,0.0
1.0,3.0,4.965136509966343,2,1.0
1.0,1.0,3.5439320574467805,1,0.0
1.0,2.0,4.171043999646475,1,1.0
1.0,3.0,3.655239607686844,2,1.0
1.0,2.0,3.8446712777528225,2,1.0
1.0,1.0,4.007491909233764,2,1.0
1.0,1.0,4.106408774397659,1,1.0
1.0,2.0,3.651825540992437,1,1.0
1.0,2.0,3.4650196996823235,1,1.0
1.0,1.0,3.9533215785956766,1,1.0
1.0,3.0,3.648369637379365,2,1.0
1.0,2.0,3.76432893175368,1,1.0
1.0,3.0,5.218003269507651,2,1.0
1.0,2.0,3.7848411334844427,1,1.0
1.0,2.0,4.612836267946122,2,1.0
1.0,1.0,3.8192014931718683,1,0.0
1.0,1.0,3.4371498365344575,1,0.0
1.0,3.0,4.879590723522872,2,1.0
1.0,1.0,3.332566165209081,1,0.0
1.0,3.0,4.497218996383414,2,1.0
1.0,2.0,3.4943483850600576,1,1.0
1.0,1.0,3.172493773371993,1,0.0
1.0,3.0,4.082482609028145,2,1.0
1.0,1.0,4.028814425153318,1,1.0
1.0,2.0,4.815872901411246,2,1.0
1.0,2.0,4.763117955497277,2,1.0
1.0,1.0,3.5219397194550788,1,0.0
1.0,2.0,3.8399104657124576,1,1.0
1.0,2.0,3.7132970207852276,1,1.0
1.0,3.0,4.508033111496799,2,1.0
1.0,1.0,3.8502963396213565,1,0.0
1.0,1.0,3.6844873530926288,1,0.0
1.0,1.0,3.755068677517848,1,0.0
