A,D,M,Q,Y
1,-2.0,0.2411772481403074,1,0.0
0,-2.0,-0.35518872459449524,1,0.0
1,10.0,5.256027224165022,2,1.0
0,0.0,0.3790243820652286,1,0.0
1,2.0,3.226535286966505,1,1.0
0,4.0,2.996597800352328,2,0.0
0,-9.0,-17.26507758947176,1,0.0
1,11.0,5.340265994135672,2,1.0
1,-2.0,-0.23836778900024846,1,0.0
0,1.0,3.396728452955138,2,0.0
1,2.0,12.250494610214922,2,1.0
0,1.0,2.339171585643374,2,0.0
0,2.0,1.2808601788263343,1,0.0
0,0.0,0.0,1,0.0
1,7.0,7.821469563414486,2,1.0
1,-10.0,-3.5280188278187836,1,0.0
1,1.0,3.4870247663017375,1,0.0
0,0.0,0.0,1,0.0
1,8.0,5.335976429722063,2,1.0
1,2.0,4.407646623120243,1,1.0
0,-2.0,-0.4426332306609381,1,0.0
1,5.0,5.2840193486864795,2,1.0
1,5.0,8.028536589297563,2,1.0
1,13.0,23.302779987705502,2,1.0
0,-3.0,-2.4471804211714527,1,0.0
1,-1.0,2.7460320187068246,1,0.0
1,1.0,3.896449195130252,1,0.0
0,-7.0,-7.218257535884353,1,0.0
0,12.0,9.630019558617622,2,1.0
1,-2.0,0.9937674340972533,1,0.0
0,5.0,7.000691840365862,2,1.0
0,-4.0,-7.991320830267809,1,0.0
0,8.0,2.883880012588418,2,1.0
0,-5.0,-2.844441046040485,1,0.0
1,0.0,2.027981382861561,1,0.0
1,4.0,6.094423545529596,2,1.0
1,0.0,1.8172680642015346,1,0.0
0,2.0,2.8430417925559066,2,0.0
1,3.0,5.264042995440571,1,1.0
0,0.0,0.9767876937150884,1,0.0
1,17.0,8.83968644796856,2,1.0
1,3.0,3.9058756946543607,1,1.0
0,9.0,5.9584376963498356,2,1.0
1,5.0,6.280179864261028,2,1.0
1,-2.0,-1.5623355856124572,1,0.0
0,-2.0,-0.15445096522811852,1,0.0
1,3.0,4.66592688233241,1,1.0
1,8.0,4.472834100948081,2,1.0
1,-9.0,2.517103381596177,1,0.0
0,-1.0,-0.2890606179493602,1,0.0
0,-8.0,-6.9068362260055425,1,0.0
1,3.0,8.944127477888552,2,1.0
1,12.0,10.10305041030158,2,1.0
0,2.0,1.1382446716882755,1,0.0
0,-6.0,-1.7498055766597802,1,0.0
1,1.0,6.540696883259292,2,1.0
0,1.0,0.20849227490418765,1,0.0
0,-4.0,-6.26395800385418,1,0.0
0,5.0,0.9322461626983198,2,0.0
1,-1.0,2.428856696163934,1,0.0
0,1.0,0.1852261989787433,1,0.0
0,1.0,0.6884929175749743,1,0.0
1,-3.0,2.051844450323305,1,0.0
0,-2.0,-0.7494014435171303,1,0.0
1,-3.0,0.9746940798152011,1,0.0
1,3.0,5.654818847229454,2,1.0
1,-3.0,-1.411684970445819,1,0.0
0,-8.0,-4.648517410732332,1,0.0
0,-1.0,-0.19028442139418297,1,0.0
1,0.0,2.505551387149795,1,0.0
1,-2.0,2.5560460430122047,1,0.0
1,1.0,4.091940647657067,1,1.0
0,1.0,1.4289698552530803,1,0.0
1,-4.0,2.2903381452308467,1,0.0
1,-6.0,-3.2378858227375664,1,0.0
1,-3.0,-1.5476315868519634,1,0.0
0,8.0,2.892538056699417,2,1.0
0,-3.0,-3.4988980217726886,1,0.0
